time                          relative_error                
0.000000000000000e+00         0.000000000000000e+00         
6.250000000000000e-03         4.537297720232345e-05         
1.250000000000000e-02         9.073912200093016e-05         
1.875000000000000e-02         1.360870224400066e-04         
2.500000000000000e-02         1.814053009017066e-04         
3.125000000000000e-02         2.266826322746645e-04         
3.750000000000001e-02         2.719077619347788e-04         
4.375000000000000e-02         3.170695234797143e-04         
5.000000000000000e-02         3.621568561525792e-04         
5.625000000000000e-02         4.071588219000983e-04         
6.250000000000000e-02         4.520646220048438e-04         
6.875000000000001e-02         4.968636132426960e-04         
7.500000000000001e-02         5.415453235091435e-04         
8.125000000000000e-02         5.860994668715489e-04         
8.750000000000001e-02         6.305159580010567e-04         
9.375000000000000e-02         6.747849259416218e-04         
1.000000000000000e-01         7.188967271857987e-04         
1.062500000000000e-01         7.628419580145209e-04         
1.125000000000000e-01         8.066114660836520e-04         
1.187500000000000e-01         8.501963612213963e-04         
1.250000000000000e-01         8.935880254263440e-04         
1.312500000000000e-01         9.367781220422082e-04         
1.375000000000000e-01         9.797586041011745e-04         
1.437500000000000e-01         1.022521721828527e-03         
1.500000000000000e-01         1.065060029302102e-03         
1.562500000000000e-01         1.107366390268252e-03         
1.625000000000000e-01         1.149433983117972e-03         
1.687500000000000e-01         1.191256305033700e-03         
1.750000000000000e-01         1.232827175309993e-03         
1.812500000000000e-01         1.274140737872969e-03         
1.875000000000000e-01         1.315191463006931e-03         
1.937500000000000e-01         1.355974148313690e-03         
2.000000000000000e-01         1.396483918926879e-03         
2.062500000000000e-01         1.436716227001782e-03         
2.125000000000000e-01         1.476666850516244e-03         
2.187500000000000e-01         1.516331891403219e-03         
2.250000000000000e-01         1.555707773053477e-03         
2.312500000000000e-01         1.594791237212952e-03         
2.375000000000000e-01         1.633579340314861e-03         
2.437500000000000e-01         1.672069449276069e-03         
2.500000000000000e-01         1.710259236795093e-03         
2.562500000000000e-01         1.748146676185203e-03         
2.625000000000000e-01         1.785730035778300e-03         
2.687500000000000e-01         1.823007872936365e-03         
2.750000000000000e-01         1.859979027703766e-03         
2.812500000000000e-01         1.896642616136631e-03         
2.875000000000000e-01         1.932998023341977e-03         
2.937500000000000e-01         1.969044896263850e-03         
3.000000000000000e-01         2.004783136242505e-03         
3.062500000000000e-01         2.040212891387297e-03         
3.125000000000000e-01         2.075334548788293e-03         
3.187500000000000e-01         2.110148726595346e-03         
3.250000000000000e-01         2.144656265999656e-03         
3.312500000000000e-01         2.178858223139653e-03         
3.375000000000000e-01         2.212755860957265e-03         
3.437500000000000e-01         2.246350641034395e-03         
3.500000000000000e-01         2.279644215425807e-03         
3.562500000000000e-01         2.312638418517092e-03         
3.625000000000000e-01         2.345335258922943e-03         
3.687500000000000e-01         2.377736911448269e-03         
3.750000000000000e-01         2.409845709127874e-03         
3.812500000000000e-01         2.441664135362870e-03         
3.875000000000000e-01         2.473194816166879e-03         
3.937500000000000e-01         2.504440512536684e-03         
4.000000000000000e-01         2.535404112961132e-03         
4.062500000000000e-01         2.566088626074673e-03         
4.125000000000000e-01         2.596497173472499e-03         
4.187500000000000e-01         2.626632982689112e-03         
4.250000000000000e-01         2.656499380353131e-03         
4.312500000000000e-01         2.686099785521092e-03         
4.375000000000000e-01         2.715437703198387e-03         
4.437500000000000e-01         2.744516718051168e-03         
4.500000000000000e-01         2.773340488311958e-03         
4.562500000000000e-01         2.801912739882426e-03         
4.625000000000000e-01         2.830237260636491e-03         
4.687500000000000e-01         2.858317894922324e-03         
4.750000000000000e-01         2.886158538267162e-03         
4.812500000000000e-01         2.913763132280911e-03         
4.875000000000000e-01         2.941135659762267e-03         
4.937500000000000e-01         2.968280140001793e-03         
5.000000000000000e-01         2.995200624284376e-03         
5.062500000000000e-01         3.021901191584861e-03         
5.125000000000001e-01         3.048385944457497e-03         
5.187500000000000e-01         3.074659005114806e-03         
5.250000000000000e-01         3.100724511692283e-03         
5.312500000000000e-01         3.126586614696536e-03         
5.375000000000000e-01         3.152249473632039e-03         
5.437500000000001e-01         3.177717253802865e-03         
5.500000000000000e-01         3.202994123285043e-03         
5.562500000000000e-01         3.228084250065773e-03         
5.625000000000000e-01         3.252991799344017e-03         
5.687500000000000e-01         3.277720930988241e-03         
5.750000000000001e-01         3.302275797147438e-03         
5.812500000000000e-01         3.326660540009441e-03         
5.875000000000000e-01         3.350879289702333e-03         
5.937500000000000e-01         3.374936162334285e-03         
6.000000000000001e-01         3.398835258167300e-03         
6.062500000000001e-01         3.422580659918605e-03         
6.125000000000000e-01         3.446176431187383e-03         
6.187500000000000e-01         3.469626614999817e-03         
6.250000000000000e-01         3.492935232469423e-03         
6.312500000000001e-01         3.516106281566864e-03         
6.375000000000001e-01         3.539143735996160e-03         
6.437500000000000e-01         3.562051544170986e-03         
6.500000000000000e-01         3.584833628289192e-03         
6.562500000000000e-01         3.607493883498398e-03         
6.625000000000001e-01         3.630036177151386e-03         
6.687500000000001e-01         3.652464348145017e-03         
6.750000000000000e-01         3.674782206339965e-03         
6.812500000000000e-01         3.696993532057402e-03         
6.875000000000000e-01         3.719102075648125e-03         
6.937500000000001e-01         3.741111557131392e-03         
7.000000000000001e-01         3.763025665899841e-03         
7.062500000000000e-01         3.784848060486231e-03         
7.125000000000000e-01         3.806582368390786e-03         
7.187500000000000e-01         3.828232185963024e-03         
7.250000000000001e-01         3.849801078338455e-03         
7.312500000000001e-01         3.871292579424075e-03         
7.375000000000000e-01         3.892710191932409e-03         
7.437500000000000e-01         3.914057387459677e-03         
7.500000000000000e-01         3.935337606606542e-03         
7.562500000000001e-01         3.956554259138141e-03         
7.625000000000001e-01         3.977710724182089e-03         
7.687500000000000e-01         3.998810350461268e-03         
7.750000000000000e-01         4.019856456559343e-03         
7.812500000000000e-01         4.040852331217960e-03         
7.875000000000001e-01         4.061801233661486e-03         
7.937500000000001e-01         4.082706393950654e-03         
8.000000000000000e-01         4.103571013359570e-03         
8.062500000000000e-01         4.124398264777866e-03         
8.125000000000000e-01         4.145191293133500e-03         
8.187500000000001e-01         4.165953215836831e-03         
8.250000000000001e-01         4.186687123243140e-03         
8.312500000000000e-01         4.207396079133414e-03         
8.375000000000000e-01         4.228083121210375e-03         
8.437500000000000e-01         4.248751261609842e-03         
8.500000000000001e-01         4.269403487426643e-03         
8.562500000000001e-01         4.290042761252659e-03         
8.625000000000000e-01         4.310672021725727e-03         
8.687500000000000e-01         4.331294184091660e-03         
8.750000000000000e-01         4.351912140773025e-03         
8.812500000000001e-01         4.372528761949315e-03         
8.875000000000001e-01         4.393146896143497e-03         
8.937500000000000e-01         4.413769370817081e-03         
9.000000000000000e-01         4.434398992971502e-03         
9.062500000000000e-01         4.455038549753970e-03         
9.125000000000001e-01         4.475690809071554e-03         
9.187500000000001e-01         4.496358520207230e-03         
9.250000000000000e-01         4.517044414441321e-03         
9.312500000000000e-01         4.537751205677214e-03         
9.375000000000000e-01         4.558481591068392e-03         
9.437500000000001e-01         4.579238251650293e-03         
9.500000000000001e-01         4.600023852972826e-03         
9.562500000000000e-01         4.620841045737141e-03         
9.625000000000000e-01         4.641692466430610e-03         
9.687500000000000e-01         4.662580737966996e-03         
9.750000000000001e-01         4.683508470324859e-03         
9.812500000000001e-01         4.704478261188397e-03         
9.875000000000000e-01         4.725492696587265e-03         
9.937500000000000e-01         4.746554351539555e-03         
1.000000000000000e+00         4.767665790691606e-03         
1.006250000000000e+00         4.788829568960372e-03         
1.012500000000000e+00         4.810048232174734e-03         
1.018750000000000e+00         4.831324317716700e-03         
1.025000000000000e+00         4.852660355162110e-03         
1.031250000000000e+00         4.874058866921025e-03         
1.037500000000000e+00         4.895522368878320e-03         
1.043750000000000e+00         4.917053371032584e-03         
1.050000000000000e+00         4.938654378135397e-03         
1.056250000000000e+00         4.960327890328960e-03         
1.062500000000000e+00         4.982076403784918e-03         
1.068750000000000e+00         5.003902411340421e-03         
1.075000000000000e+00         5.025808403135293e-03         
1.081250000000000e+00         5.047796867247892e-03         
1.087500000000000e+00         5.069870290329865e-03         
1.093750000000000e+00         5.092031158241941e-03         
1.100000000000000e+00         5.114281956687662e-03         
1.106250000000000e+00         5.136625171848191e-03         
1.112500000000000e+00         5.159063291015242e-03         
1.118750000000000e+00         5.181598803225568e-03         
1.125000000000000e+00         5.204234199893090e-03         
1.131250000000000e+00         5.226971975443656e-03         
1.137500000000000e+00         5.249814627947367e-03         
1.143750000000000e+00         5.272764659752823e-03         
1.150000000000000e+00         5.295824578120003e-03         
1.156250000000000e+00         5.318996895855887e-03         
1.162500000000000e+00         5.342284131947679e-03         
1.168750000000000e+00         5.365688812198646e-03         
1.175000000000000e+00         5.389213469864958e-03         
1.181250000000000e+00         5.412860646291330e-03         
1.187500000000000e+00         5.436632891550484e-03         
1.193750000000000e+00         5.460532765081260e-03         
1.200000000000000e+00         5.484562836329468e-03         
1.206250000000000e+00         5.508725685390558e-03         
1.212500000000000e+00         5.533023903652606e-03         
1.218750000000000e+00         5.557460094441821e-03         
1.225000000000000e+00         5.582036873671390e-03         
1.231250000000000e+00         5.606756870488722e-03         
1.237500000000000e+00         5.631622727929887e-03         
1.243750000000000e+00         5.656637103572506e-03         
1.250000000000000e+00         5.681802670192866e-03         
1.256250000000000e+00         5.707122116426607e-03         
1.262500000000000e+00         5.732598147431170e-03         
1.268750000000000e+00         5.758233485551508e-03         
1.275000000000000e+00         5.784030870990713e-03         
1.281250000000000e+00         5.809993062481597e-03         
1.287500000000000e+00         5.836122837964060e-03         
1.293750000000000e+00         5.862422995266360e-03         
1.300000000000000e+00         5.888896352788301e-03         
1.306250000000000e+00         5.915545750191833e-03         
1.312500000000000e+00         5.942374049093574e-03         
1.318750000000000e+00         5.969384133763771e-03         
1.325000000000000e+00         5.996578911828176e-03         
1.331250000000000e+00         6.023961314977548e-03         
1.337500000000000e+00         6.051534299680047e-03         
1.343750000000000e+00         6.079300847900066e-03         
1.350000000000000e+00         6.107263967822990e-03         
1.356250000000000e+00         6.135426694585444e-03         
1.362500000000000e+00         6.163792091011251e-03         
1.368750000000000e+00         6.192363248354068e-03         
1.375000000000000e+00         6.221143287046074e-03         
1.381250000000000e+00         6.250135357453552e-03         
1.387500000000000e+00         6.279342640639667e-03         
1.393750000000000e+00         6.308768349132460e-03         
1.400000000000000e+00         6.338415727702700e-03         
1.406250000000000e+00         6.368288054146696e-03         
1.412500000000000e+00         6.398388640077596e-03         
1.418750000000000e+00         6.428720831725586e-03         
1.425000000000000e+00         6.459288010743122e-03         
1.431250000000000e+00         6.490093595021435e-03         
1.437500000000000e+00         6.521141039513474e-03         
1.443750000000000e+00         6.552433837065782e-03         
1.450000000000000e+00         6.583975519259030e-03         
1.456250000000000e+00         6.615769657256716e-03         
1.462500000000000e+00         6.647819862664751e-03         
1.468750000000000e+00         6.680129788397869e-03         
1.475000000000000e+00         6.712703129556638e-03         
1.481250000000000e+00         6.745543624313868e-03         
1.487500000000000e+00         6.778655054810820e-03         
1.493750000000000e+00         6.812041248062026e-03         
1.500000000000000e+00         6.845706076871514e-03         
1.506250000000000e+00         6.879653460758307e-03         
1.512500000000000e+00         6.913887366892392e-03         
1.518750000000000e+00         6.948411811040062e-03         
1.525000000000000e+00         6.983230858521598e-03         
1.531250000000000e+00         7.018348625177523e-03         
1.537500000000000e+00         7.053769278347154e-03         
1.543750000000000e+00         7.089497037855432e-03         
1.550000000000000e+00         7.125536177013987e-03         
1.556250000000000e+00         7.161891023629761e-03         
1.562500000000000e+00         7.198565961026691e-03         
