time                          relative_error                
0.000000000000000e+00         0.000000000000000e+00         
1.562500000000000e-03         2.193871869864815e-15         
3.125000000000000e-03         4.382312075109172e-15         
4.687500000000001e-03         6.572371581659373e-15         
6.250000000000000e-03         8.760745393982542e-15         
7.812500000000000e-03         1.095067124940868e-14         
9.375000000000001e-03         1.314478620097000e-14         
1.093750000000000e-02         1.533819646107650e-14         
1.250000000000000e-02         1.752450746448248e-14         
1.406250000000000e-02         1.971436916997366e-14         
1.562500000000000e-02         2.190483648809032e-14         
1.718750000000000e-02         2.410632066194692e-14         
1.875000000000000e-02         2.629425420977991e-14         
2.031250000000000e-02         2.848145327078456e-14         
2.187500000000000e-02         3.066795163853256e-14         
2.343750000000000e-02         3.285360570546483e-14         
2.500000000000000e-02         3.503897022610103e-14         
2.656250000000000e-02         3.722809612153270e-14         
2.812500000000000e-02         3.940094594683625e-14         
2.968750000000000e-02         4.158984479698868e-14         
3.125000000000000e-02         4.378321602751075e-14         
3.281250000000000e-02         4.595936017909846e-14         
3.437500000000000e-02         4.816301672879276e-14         
3.593750000000000e-02         5.033818580538073e-14         
3.750000000000001e-02         5.252765091516780e-14         
3.906250000000000e-02         5.468605759381716e-14         
4.062500000000000e-02         5.685514704260481e-14         
4.218750000000000e-02         5.903558651733693e-14         
4.375000000000000e-02         6.123305932939661e-14         
4.531250000000001e-02         6.339220737379472e-14         
4.687500000000000e-02         6.557697252323874e-14         
4.843750000000000e-02         6.774611520451316e-14         
5.000000000000000e-02         6.993076047883853e-14         
5.156250000000000e-02         7.210743710452164e-14         
5.312500000000001e-02         7.429134986915047e-14         
5.468750000000000e-02         7.646796648054166e-14         
5.625000000000000e-02         7.861240519168214e-14         
5.781250000000000e-02         8.077999067008612e-14         
5.937500000000000e-02         8.294044107878166e-14         
6.093750000000001e-02         8.509895804917767e-14         
6.250000000000000e-02         8.725891164162970e-14         
6.406250000000001e-02         8.945242077423068e-14         
6.562500000000000e-02         9.158912289912007e-14         
6.718750000000000e-02         9.379496870013733e-14         
6.875000000000001e-02         9.593495269906624e-14         
7.031250000000000e-02         9.807821106511712e-14         
7.187500000000001e-02         1.002437964827328e-13         
7.343750000000000e-02         1.023832576738792e-13         
7.500000000000001e-02         1.045748077020222e-13         
7.656250000000001e-02         1.067079744332274e-13         
7.812500000000000e-02         1.088401067815438e-13         
7.968750000000001e-02         1.110309825241261e-13         
8.125000000000000e-02         1.131616550217479e-13         
8.281250000000001e-02         1.153070924493274e-13         
8.437500000000001e-02         1.174689717303991e-13         
8.593750000000000e-02         1.195982216949239e-13         
8.750000000000001e-02         1.217860784511420e-13         
8.906250000000000e-02         1.238737971107111e-13         
9.062500000000001e-02         1.260263931044483e-13         
9.218750000000001e-02         1.281481645509150e-13         
9.375000000000000e-02         1.302693722697175e-13         
9.531250000000001e-02         1.324322704592412e-13         
9.687500000000000e-02         1.345220243769796e-13         
9.843750000000001e-02         1.366692737267761e-13         
1.000000000000000e-01         1.388296037235841e-13         
1.015625000000000e-01         1.409467489406218e-13         
1.031250000000000e-01         1.430646238887427e-13         
1.046875000000000e-01         1.451657281958993e-13         
1.062500000000000e-01         1.472660581515428e-13         
1.078125000000000e-01         1.494419616100670e-13         
1.093750000000000e-01         1.515269418843509e-13         
1.109375000000000e-01         1.536411799028366e-13         
1.125000000000000e-01         1.557262133937392e-13         
1.140625000000000e-01         1.578880360280946e-13         
1.156250000000000e-01         1.599557151641605e-13         
1.171875000000000e-01         1.620550424229873e-13         
1.187500000000000e-01         1.641390297474535e-13         
1.203125000000000e-01         1.662225104235364e-13         
1.218750000000000e-01         1.683736813012122e-13         
1.234375000000000e-01         1.704071912647979e-13         
1.250000000000000e-01         1.724593099966421e-13         
1.265625000000000e-01         1.745309499818868e-13         
1.281250000000000e-01         1.766261615814093e-13         
1.296875000000000e-01         1.787332008147193e-13         
1.312500000000000e-01         1.808773081456198e-13         
1.328125000000000e-01         1.829341191420776e-13         
1.343750000000000e-01         1.849821310617839e-13         
1.359375000000000e-01         1.870226317503317e-13         
1.375000000000000e-01         1.891389330865579e-13         
1.390625000000000e-01         1.911694206560376e-13         
1.406250000000000e-01         1.932177171148864e-13         
1.421875000000000e-01         1.953052984924228e-13         
1.437500000000000e-01         1.973574362196947e-13         
1.453125000000000e-01         1.993905514200182e-13         
1.468750000000000e-01         2.014349753917250e-13         
1.484375000000000e-01         2.035110747853846e-13         
1.500000000000000e-01         2.055431409859918e-13         
1.515625000000000e-01         2.075457106055819e-13         
1.531250000000000e-01         2.095608821462143e-13         
1.546875000000000e-01         2.116619347569326e-13         
1.562500000000000e-01         2.137205210855079e-13         
1.578125000000000e-01         2.157647572970371e-13         
1.593750000000000e-01         2.177796063474562e-13         
1.609375000000000e-01         2.197943626770706e-13         
1.625000000000000e-01         2.216774646972196e-13         
1.640625000000000e-01         2.237211226717870e-13         
1.656250000000000e-01         2.257485186035341e-13         
1.671875000000000e-01         2.277950708314315e-13         
1.687500000000000e-01         2.297510854721232e-13         
1.703125000000000e-01         2.317801385074294e-13         
1.718750000000000e-01         2.337531005345026e-13         
1.734375000000000e-01         2.357544231280662e-13         
1.750000000000000e-01         2.377551205634098e-13         
1.765625000000000e-01         2.397752641586701e-13         
1.781250000000000e-01         2.418237022224088e-13         
1.796875000000000e-01         2.437195092253069e-13         
1.812500000000000e-01         2.457119352021590e-13         
1.828125000000000e-01         2.477538627015857e-13         
1.843750000000000e-01         2.497745935649022e-13         
1.859375000000000e-01         2.516899201735157e-13         
1.875000000000000e-01         2.536549193585510e-13         
1.890625000000000e-01         2.555687612945955e-13         
1.906250000000000e-01         2.576353028145689e-13         
1.921875000000000e-01         2.595214985655209e-13         
1.937500000000000e-01         2.614579230871904e-13         
1.953125000000000e-01         2.633401080727087e-13         
1.968750000000000e-01         2.654608935562834e-13         
1.984375000000000e-01         2.672901467144232e-13         
2.000000000000000e-01         2.691974475532838e-13         
2.015625000000000e-01         2.711326362781753e-13         
2.031250000000000e-01         2.730402943211549e-13         
2.046875000000000e-01         2.749479831791180e-13         
2.062500000000000e-01         2.769103246319378e-13         
2.078125000000000e-01         2.788468711960275e-13         
2.093750000000000e-01         2.806997112151117e-13         
2.109375000000000e-01         2.826363774878819e-13         
2.125000000000000e-01         2.846030558832648e-13         
2.140625000000000e-01         2.864281219618658e-13         
2.156250000000000e-01         2.883127774257081e-13         
2.171875000000000e-01         2.903079052380075e-13         
2.187500000000000e-01         2.921360735555649e-13         
2.203125000000000e-01         2.940793219223836e-13         
2.218750000000000e-01         2.959649434222872e-13         
2.234375000000000e-01         2.978509065199230e-13         
2.250000000000000e-01         2.996851613043489e-13         
2.265625000000000e-01         3.016633625169724e-13         
2.281250000000000e-01         3.035493630556112e-13         
2.296875000000000e-01         3.054181277081559e-13         
2.312500000000000e-01         3.071669913852816e-13         
2.328125000000000e-01         3.090362749490624e-13         
2.343750000000000e-01         3.108704819285491e-13         
2.359375000000000e-01         3.127143165435478e-13         
2.375000000000000e-01         3.146809756433913e-13         
2.390625000000000e-01         3.163773985471713e-13         
2.406250000000000e-01         3.183094680617052e-13         
2.421875000000000e-01         3.202292719086926e-13         
2.437500000000000e-01         3.220246372130015e-13         
2.453125000000000e-01         3.238706219426233e-13         
2.468750000000000e-01         3.256032488371012e-13         
2.484375000000000e-01         3.275260150995945e-13         
2.500000000000000e-01         3.292973627417572e-13         
2.515625000000000e-01         3.311723728983417e-13         
2.531250000000000e-01         3.329594849095335e-13         
2.546875000000000e-01         3.347965016867114e-13         
2.562500000000000e-01         3.366093307152769e-13         
2.578125000000000e-01         3.383085378234593e-13         
2.593750000000000e-01         3.401632696391994e-13         
2.609375000000000e-01         3.419286376634632e-13         
2.625000000000000e-01         3.437607641485627e-13         
2.640625000000000e-01         3.456179527655471e-13         
2.656250000000000e-01         3.472457200158603e-13         
2.671875000000000e-01         3.490799015785743e-13         
2.687500000000000e-01         3.509105477757602e-13         
2.703125000000000e-01         3.525393594869213e-13         
2.718750000000000e-01         3.544437996702680e-13         
2.734375000000000e-01         3.562538828635423e-13         
2.750000000000000e-01         3.579970859304337e-13         
2.765625000000000e-01         3.596486198731375e-13         
2.781250000000000e-01         3.614855546427051e-13         
2.796875000000000e-01         3.632312092148296e-13         
2.812500000000000e-01         3.650935197067400e-13         
2.828125000000000e-01         3.668173307589833e-13         
2.843750000000000e-01         3.685430758470983e-13         
2.859375000000000e-01         3.703157118712447e-13         
2.875000000000000e-01         3.719478082505247e-13         
2.890625000000000e-01         3.738187026769254e-13         
2.906250000000000e-01         3.754061391723981e-13         
2.921875000000000e-01         3.772089306931817e-13         
2.937500000000000e-01         3.789909616487680e-13         
2.953125000000000e-01         3.805573896786313e-13         
2.968750000000000e-01         3.823415024408144e-13         
2.984375000000000e-01         3.839366722289706e-13         
3.000000000000000e-01         3.857740582347689e-13         
3.015625000000000e-01         3.872755692442434e-13         
3.031250000000000e-01         3.891895178973732e-13         
3.046875000000000e-01         3.907659197465560e-13         
3.062500000000000e-01         3.923653018930309e-13         
3.078125000000000e-01         3.943144088935492e-13         
3.093750000000000e-01         3.958498661259735e-13         
3.109375000000000e-01         3.975888940433442e-13         
3.125000000000000e-01         3.992229793359127e-13         
3.140625000000000e-01         4.009655574289870e-13         
3.156250000000000e-01         4.025802329771280e-13         
3.171875000000000e-01         4.042074785910964e-13         
3.187500000000000e-01         4.059763061944548e-13         
3.203125000000000e-01         4.076067388750461e-13         
3.218750000000000e-01         4.093152759476968e-13         
3.234375000000000e-01         4.109698008954826e-13         
3.250000000000000e-01         4.124855945417171e-13         
3.265625000000000e-01         4.142553283478182e-13         
3.281250000000000e-01         4.159858597293319e-13         
3.296875000000000e-01         4.176202086094530e-13         
3.312500000000000e-01         4.192200945091455e-13         
3.328125000000000e-01         4.208005237388299e-13         
3.343750000000000e-01         4.223618734470847e-13         
3.359375000000000e-01         4.240620581310880e-13         
3.375000000000000e-01         4.256264228306887e-13         
3.390625000000000e-01         4.271922623355859e-13         
3.406250000000000e-01         4.288377304402491e-13         
3.421875000000000e-01         4.303469065189664e-13         
3.437500000000000e-01         4.320171383980756e-13         
3.453125000000000e-01         4.336491338471261e-13         
