x                             y                             
1.000000000000000e+02         1.100000000000000e+00         
1.000000000000000e+02         1.102000000000000e+00         
1.000000000000000e+02         1.104000000000000e+00         
1.000000000000000e+02         1.106000000000000e+00         
9.800000000000000e+01         1.108000000000000e+00         
1.000000000000000e+02         1.110000000000000e+00         
1.000000000000000e+02         1.112000000000000e+00         
1.000000000000000e+02         1.114000000000000e+00         
1.000000000000000e+02         1.116000000000000e+00         
1.000000000000000e+02         1.118000000000000e+00         
1.000000000000000e+02         1.120000000000000e+00         
1.000000000000000e+02         1.122000000000000e+00         
9.800000000000000e+01         1.124000000000000e+00         
1.000000000000000e+02         1.126000000000000e+00         
1.000000000000000e+02         1.128000000000000e+00         
1.000000000000000e+02         1.130000000000000e+00         
1.000000000000000e+02         1.132000000000000e+00         
1.000000000000000e+02         1.134000000000000e+00         
1.000000000000000e+02         1.136000000000000e+00         
9.800000000000000e+01         1.138000000000000e+00         
1.000000000000000e+02         1.140000000000000e+00         
1.000000000000000e+02         1.142000000000000e+00         
1.000000000000000e+02         1.144000000000000e+00         
1.000000000000000e+02         1.146000000000000e+00         
1.000000000000000e+02         1.148000000000000e+00         
1.000000000000000e+02         1.150000000000000e+00         
1.000000000000000e+02         1.152000000000000e+00         
1.000000000000000e+02         1.154000000000000e+00         
1.000000000000000e+02         1.156000000000000e+00         
1.000000000000000e+02         1.158000000000000e+00         
1.000000000000000e+02         1.160000000000000e+00         
1.000000000000000e+02         1.162000000000000e+00         
1.000000000000000e+02         1.164000000000000e+00         
1.000000000000000e+02         1.166000000000000e+00         
1.000000000000000e+02         1.168000000000000e+00         
1.000000000000000e+02         1.170000000000000e+00         
1.000000000000000e+02         1.172000000000000e+00         
1.000000000000000e+02         1.174000000000000e+00         
1.000000000000000e+02         1.176000000000000e+00         
1.000000000000000e+02         1.178000000000000e+00         
9.800000000000000e+01         1.180000000000000e+00         
9.800000000000000e+01         1.182000000000000e+00         
1.000000000000000e+02         1.184000000000000e+00         
1.000000000000000e+02         1.186000000000000e+00         
1.000000000000000e+02         1.188000000000000e+00         
1.000000000000000e+02         1.190000000000000e+00         
1.000000000000000e+02         1.192000000000000e+00         
1.000000000000000e+02         1.194000000000000e+00         
1.000000000000000e+02         1.196000000000000e+00         
1.000000000000000e+02         1.198000000000000e+00         
1.000000000000000e+02         1.200000000000000e+00         
1.000000000000000e+02         1.202000000000000e+00         
1.000000000000000e+02         1.204000000000000e+00         
1.000000000000000e+02         1.206000000000000e+00         
1.000000000000000e+02         1.208000000000000e+00         
9.800000000000000e+01         1.210000000000000e+00         
7.800000000000000e+01         1.212000000000000e+00         
3.200000000000000e+01         1.214000000000000e+00         
0.000000000000000e+00         1.216000000000000e+00         
0.000000000000000e+00         1.218000000000000e+00         
0.000000000000000e+00         1.220000000000000e+00         
1.000000000000000e+02         1.222000000000000e+00         
1.000000000000000e+02         1.224000000000000e+00         
1.000000000000000e+02         1.226000000000000e+00         
9.800000000000000e+01         1.228000000000000e+00         
1.000000000000000e+02         1.230000000000000e+00         
1.000000000000000e+02         1.232000000000000e+00         
1.000000000000000e+02         1.234000000000000e+00         
1.000000000000000e+02         1.236000000000000e+00         
1.000000000000000e+02         1.238000000000000e+00         
9.900000000000000e+01         1.240000000000000e+00         
1.000000000000000e+02         1.242000000000000e+00         
1.000000000000000e+02         1.244000000000000e+00         
1.000000000000000e+02         1.246000000000000e+00         
1.000000000000000e+02         1.248000000000000e+00         
9.900000000000000e+01         1.250000000000000e+00         
9.800000000000000e+01         1.252000000000000e+00         
1.000000000000000e+02         1.254000000000000e+00         
1.000000000000000e+02         1.256000000000000e+00         
1.000000000000000e+02         1.258000000000000e+00         
1.000000000000000e+02         1.260000000000000e+00         
1.000000000000000e+02         1.262000000000000e+00         
1.000000000000000e+02         1.264000000000000e+00         
1.000000000000000e+02         1.266000000000000e+00         
1.000000000000000e+02         1.268000000000000e+00         
1.000000000000000e+02         1.270000000000000e+00         
1.000000000000000e+02         1.272000000000000e+00         
1.000000000000000e+02         1.274000000000000e+00         
1.000000000000000e+02         1.276000000000000e+00         
9.800000000000000e+01         1.278000000000000e+00         
1.000000000000000e+02         1.280000000000000e+00         
1.000000000000000e+02         1.282000000000000e+00         
1.000000000000000e+02         1.284000000000000e+00         
1.000000000000000e+02         1.286000000000000e+00         
1.000000000000000e+02         1.288000000000000e+00         
9.900000000000000e+01         1.290000000000000e+00         
9.700000000000000e+01         1.292000000000000e+00         
1.000000000000000e+02         1.294000000000000e+00         
1.000000000000000e+02         1.296000000000000e+00         
8.200000000000000e+01         1.298000000000000e+00         
9.900000000000000e+01         1.300000000000000e+00         
1.000000000000000e+02         1.302000000000000e+00         
1.000000000000000e+02         1.304000000000000e+00         
1.000000000000000e+02         1.306000000000000e+00         
1.000000000000000e+02         1.308000000000000e+00         
1.000000000000000e+02         1.310000000000000e+00         
1.000000000000000e+02         1.312000000000000e+00         
1.000000000000000e+02         1.314000000000000e+00         
1.000000000000000e+02         1.316000000000000e+00         
1.000000000000000e+02         1.318000000000000e+00         
1.000000000000000e+02         1.320000000000000e+00         
1.000000000000000e+02         1.322000000000000e+00         
1.000000000000000e+02         1.324000000000000e+00         
1.000000000000000e+02         1.326000000000000e+00         
1.000000000000000e+02         1.328000000000000e+00         
1.000000000000000e+02         1.330000000000000e+00         
9.800000000000000e+01         1.332000000000000e+00         
1.000000000000000e+02         1.334000000000000e+00         
1.000000000000000e+02         1.336000000000000e+00         
1.000000000000000e+02         1.338000000000000e+00         
1.000000000000000e+02         1.340000000000000e+00         
1.000000000000000e+02         1.342000000000000e+00         
1.000000000000000e+02         1.344000000000000e+00         
1.000000000000000e+02         1.346000000000000e+00         
1.000000000000000e+02         1.348000000000000e+00         
1.000000000000000e+02         1.350000000000000e+00         
1.000000000000000e+02         1.352000000000000e+00         
1.000000000000000e+02         1.354000000000000e+00         
1.000000000000000e+02         1.356000000000000e+00         
1.000000000000000e+02         1.358000000000000e+00         
9.800000000000000e+01         1.360000000000000e+00         
1.000000000000000e+02         1.362000000000000e+00         
9.900000000000000e+01         1.364000000000000e+00         
1.000000000000000e+02         1.366000000000000e+00         
1.000000000000000e+02         1.368000000000000e+00         
1.000000000000000e+02         1.370000000000000e+00         
1.000000000000000e+02         1.372000000000000e+00         
1.000000000000000e+02         1.374000000000000e+00         
1.000000000000000e+02         1.376000000000000e+00         
1.000000000000000e+02         1.378000000000000e+00         
1.000000000000000e+02         1.380000000000000e+00         
9.800000000000000e+01         1.382000000000000e+00         
1.000000000000000e+02         1.384000000000000e+00         
1.000000000000000e+02         1.386000000000000e+00         
1.000000000000000e+02         1.388000000000000e+00         
1.000000000000000e+02         1.390000000000000e+00         
1.000000000000000e+02         1.392000000000000e+00         
1.000000000000000e+02         1.394000000000000e+00         
1.000000000000000e+02         1.396000000000000e+00         
1.000000000000000e+02         1.398000000000000e+00         
1.000000000000000e+02         1.400000000000000e+00         
1.000000000000000e+02         1.402000000000000e+00         
1.000000000000000e+02         1.404000000000000e+00         
1.000000000000000e+02         1.406000000000000e+00         
1.000000000000000e+02         1.408000000000000e+00         
1.000000000000000e+02         1.410000000000000e+00         
1.000000000000000e+02         1.412000000000000e+00         
1.000000000000000e+02         1.414000000000000e+00         
1.000000000000000e+02         1.416000000000000e+00         
1.000000000000000e+02         1.418000000000000e+00         
1.000000000000000e+02         1.420000000000000e+00         
1.000000000000000e+02         1.422000000000000e+00         
1.000000000000000e+02         1.424000000000000e+00         
1.000000000000000e+02         1.426000000000000e+00         
1.000000000000000e+02         1.428000000000000e+00         
1.000000000000000e+02         1.430000000000000e+00         
1.000000000000000e+02         1.432000000000000e+00         
1.000000000000000e+02         1.434000000000000e+00         
1.000000000000000e+02         1.436000000000000e+00         
1.000000000000000e+02         1.438000000000000e+00         
1.000000000000000e+02         1.440000000000000e+00         
1.000000000000000e+02         1.442000000000000e+00         
9.800000000000000e+01         1.444000000000000e+00         
1.000000000000000e+02         1.446000000000000e+00         
1.000000000000000e+02         1.448000000000000e+00         
1.000000000000000e+02         1.450000000000000e+00         
9.900000000000000e+01         1.452000000000000e+00         
1.000000000000000e+02         1.454000000000000e+00         
1.000000000000000e+02         1.456000000000000e+00         
1.000000000000000e+02         1.458000000000000e+00         
1.000000000000000e+02         1.460000000000000e+00         
1.000000000000000e+02         1.462000000000000e+00         
1.000000000000000e+02         1.464000000000000e+00         
1.000000000000000e+02         1.466000000000000e+00         
1.000000000000000e+02         1.468000000000000e+00         
9.800000000000000e+01         1.470000000000000e+00         
1.000000000000000e+02         1.472000000000000e+00         
1.000000000000000e+02         1.474000000000000e+00         
1.000000000000000e+02         1.476000000000000e+00         
1.000000000000000e+02         1.478000000000000e+00         
9.700000000000000e+01         1.480000000000000e+00         
1.000000000000000e+02         1.482000000000000e+00         
1.000000000000000e+02         1.484000000000000e+00         
1.000000000000000e+02         1.486000000000000e+00         
1.000000000000000e+02         1.488000000000000e+00         
1.000000000000000e+02         1.490000000000000e+00         
1.000000000000000e+02         1.492000000000000e+00         
1.000000000000000e+02         1.494000000000000e+00         
1.000000000000000e+02         1.496000000000000e+00         
1.000000000000000e+02         1.498000000000000e+00         
1.000000000000000e+02         1.500000000000000e+00         
1.000000000000000e+02         1.502000000000000e+00         
1.000000000000000e+02         1.504000000000000e+00         
1.000000000000000e+02         1.506000000000000e+00         
1.000000000000000e+02         1.508000000000000e+00         
1.000000000000000e+02         1.510000000000000e+00         
1.000000000000000e+02         1.512000000000000e+00         
1.000000000000000e+02         1.514000000000000e+00         
1.000000000000000e+02         1.516000000000000e+00         
1.000000000000000e+02         1.518000000000000e+00         
1.000000000000000e+02         1.520000000000000e+00         
1.000000000000000e+02         1.522000000000000e+00         
1.000000000000000e+02         1.524000000000000e+00         
1.000000000000000e+02         1.526000000000000e+00         
1.000000000000000e+02         1.528000000000000e+00         
1.000000000000000e+02         1.530000000000000e+00         
1.000000000000000e+02         1.532000000000000e+00         
1.000000000000000e+02         1.534000000000000e+00         
1.000000000000000e+02         1.536000000000000e+00         
1.000000000000000e+02         1.538000000000000e+00         
1.000000000000000e+02         1.540000000000000e+00         
1.000000000000000e+02         1.542000000000000e+00         
1.000000000000000e+02         1.544000000000000e+00         
1.000000000000000e+02         1.546000000000000e+00         
1.000000000000000e+02         1.548000000000000e+00         
1.000000000000000e+02         1.550000000000000e+00         
1.000000000000000e+02         1.552000000000000e+00         
1.000000000000000e+02         1.554000000000000e+00         
9.800000000000000e+01         1.556000000000000e+00         
1.000000000000000e+02         1.558000000000000e+00         
1.000000000000000e+02         1.560000000000000e+00         
1.000000000000000e+02         1.562000000000000e+00         
1.000000000000000e+02         1.564000000000000e+00         
1.000000000000000e+02         1.566000000000000e+00         
1.000000000000000e+02         1.568000000000000e+00         
1.000000000000000e+02         1.570000000000000e+00         
1.000000000000000e+02         1.572000000000000e+00         
1.000000000000000e+02         1.574000000000000e+00         
1.000000000000000e+02         1.576000000000000e+00         
1.000000000000000e+02         1.578000000000000e+00         
1.000000000000000e+02         1.580000000000000e+00         
1.000000000000000e+02         1.582000000000000e+00         
1.000000000000000e+02         1.584000000000000e+00         
1.000000000000000e+02         1.586000000000000e+00         
1.000000000000000e+02         1.588000000000000e+00         
1.000000000000000e+02         1.590000000000000e+00         
1.000000000000000e+02         1.592000000000000e+00         
1.000000000000000e+02         1.594000000000000e+00         
1.000000000000000e+02         1.596000000000000e+00         
1.000000000000000e+02         1.598000000000000e+00         
1.000000000000000e+02         1.600000000000000e+00         
1.000000000000000e+02         1.602000000000000e+00         
1.000000000000000e+02         1.604000000000000e+00         
1.000000000000000e+02         1.606000000000000e+00         
1.000000000000000e+02         1.608000000000000e+00         
1.000000000000000e+02         1.610000000000000e+00         
1.000000000000000e+02         1.612000000000000e+00         
1.000000000000000e+02         1.614000000000000e+00         
1.000000000000000e+02         1.616000000000000e+00         
1.000000000000000e+02         1.618000000000000e+00         
1.000000000000000e+02         1.620000000000000e+00         
1.000000000000000e+02         1.622000000000000e+00         
1.000000000000000e+02         1.624000000000000e+00         
9.800000000000000e+01         1.626000000000000e+00         
1.000000000000000e+02         1.628000000000000e+00         
1.000000000000000e+02         1.630000000000000e+00         
1.000000000000000e+02         1.632000000000000e+00         
1.000000000000000e+02         1.634000000000000e+00         
1.000000000000000e+02         1.636000000000000e+00         
1.000000000000000e+02         1.638000000000000e+00         
1.000000000000000e+02         1.640000000000000e+00         
1.000000000000000e+02         1.642000000000000e+00         
1.000000000000000e+02         1.644000000000000e+00         
1.000000000000000e+02         1.646000000000000e+00         
1.000000000000000e+02         1.648000000000000e+00         
1.000000000000000e+02         1.650000000000000e+00         
1.000000000000000e+02         1.652000000000000e+00         
1.000000000000000e+02         1.654000000000000e+00         
1.000000000000000e+02         1.656000000000000e+00         
1.000000000000000e+02         1.658000000000000e+00         
1.000000000000000e+02         1.660000000000000e+00         
1.000000000000000e+02         1.662000000000000e+00         
1.000000000000000e+02         1.664000000000000e+00         
1.000000000000000e+02         1.666000000000000e+00         
1.000000000000000e+02         1.668000000000000e+00         
1.000000000000000e+02         1.670000000000000e+00         
1.000000000000000e+02         1.672000000000000e+00         
1.000000000000000e+02         1.674000000000000e+00         
1.000000000000000e+02         1.676000000000000e+00         
1.000000000000000e+02         1.678000000000000e+00         
1.000000000000000e+02         1.680000000000000e+00         
1.000000000000000e+02         1.682000000000000e+00         
1.000000000000000e+02         1.684000000000000e+00         
1.000000000000000e+02         1.686000000000000e+00         
1.000000000000000e+02         1.688000000000000e+00         
1.000000000000000e+02         1.690000000000000e+00         
1.000000000000000e+02         1.692000000000000e+00         
1.000000000000000e+02         1.694000000000000e+00         
1.000000000000000e+02         1.696000000000000e+00         
9.800000000000000e+01         1.698000000000000e+00         
