time                          x                             y                             z                             
0.000000000000000e+00         2.000000000000000e+01         3.906250000000000e-02         2.000000000000000e+01         
1.562500000000000e-03         2.000015744960080e+01         7.811878125459078e-02         1.999998146487042e+01         
3.125000000000000e-03         2.000047232693629e+01         1.171682762665992e-01         1.999994438656450e+01         
4.687500000000001e-03         2.000094460807712e+01         1.562104176357589e-01         1.999988875705012e+01         
6.250000000000000e-03         2.000157426703103e+01         1.952446380660546e-01         1.999981456830999e+01         
7.812500000000000e-03         2.000236127574331e+01         2.342703703730646e-01         1.999972181234187e+01         
9.375000000000000e-03         2.000330560409717e+01         2.732870474913025e-01         1.999961048115878e+01         
1.093750000000000e-02         2.000440721991421e+01         3.122941024815556e-01         1.999948056678919e+01         
1.250000000000000e-02         2.000566608895492e+01         3.512909685382226e-01         1.999933206127722e+01         
1.406250000000000e-02         2.000708217491913e+01         3.902770789966484e-01         1.999916495668287e+01         
1.562500000000000e-02         2.000865543944660e+01         4.292518673404577e-01         1.999897924508221e+01         
1.718750000000000e-02         2.001038584211752e+01         4.682147672088853e-01         1.999877491856757e+01         
1.875000000000000e-02         2.001227334045316e+01         5.071652124041049e-01         1.999855196924776e+01         
2.031250000000000e-02         2.001431788991643e+01         5.461026368985553e-01         1.999831038924826e+01         
2.187500000000000e-02         2.001651944391256e+01         5.850264748422638e-01         1.999805017071140e+01         
2.343750000000000e-02         2.001887795378973e+01         6.239361605701674e-01         1.999777130579661e+01         
2.500000000000000e-02         2.002139336883979e+01         6.628311286094315e-01         1.999747378668057e+01         
2.656250000000001e-02         2.002406563629897e+01         7.017108136867650e-01         1.999715760555741e+01         
2.812500000000001e-02         2.002689470134863e+01         7.405746507357335e-01         1.999682275463893e+01         
2.968750000000001e-02         2.002988050711606e+01         7.794220749040689e-01         1.999646922615480e+01         
3.125000000000001e-02         2.003302299467523e+01         8.182525215609766e-01         1.999609701235269e+01         
3.281250000000001e-02         2.003632210304765e+01         8.570654263044386e-01         1.999570610549854e+01         
3.437500000000001e-02         2.003977776920324e+01         8.958602249685145e-01         1.999529649787672e+01         
3.593750000000001e-02         2.004338992806120e+01         9.346363536306384e-01         1.999486818179020e+01         
3.750000000000001e-02         2.004715851249088e+01         9.733932486189127e-01         1.999442114956078e+01         
3.906250000000001e-02         2.005108345331281e+01         1.012130346519399e+00         1.999395539352925e+01         
4.062500000000002e-02         2.005516467929956e+01         1.050847084183403e+00         1.999347090605558e+01         
4.218750000000002e-02         2.005940211717680e+01         1.089542898734760e+00         1.999296767951911e+01         
4.375000000000002e-02         2.006379569162429e+01         1.128217227577112e+00         1.999244570631877e+01         
4.531250000000002e-02         2.006834532527693e+01         1.166869508401186e+00         1.999190497887319e+01         
4.687500000000002e-02         2.007305093872583e+01         1.205499179192060e+00         1.999134548962096e+01         
4.843750000000002e-02         2.007791245051940e+01         1.244105678236439e+00         1.999076723102076e+01         
5.000000000000002e-02         2.008292977716449e+01         1.282688444129909e+00         1.999017019555157e+01         
5.156250000000002e-02         2.008810283312754e+01         1.321246915784202e+00         1.998955437571285e+01         
5.312500000000003e-02         2.009343153083573e+01         1.359780532434452e+00         1.998891976402470e+01         
5.468750000000003e-02         2.009891578067822e+01         1.398288733646438e+00         1.998826635302806e+01         
5.625000000000003e-02         2.010455549100736e+01         1.436770959323839e+00         1.998759413528487e+01         
5.781250000000003e-02         2.011035056813994e+01         1.475226649715470e+00         1.998690310337826e+01         
5.937500000000003e-02         2.011630091635852e+01         1.513655245422518e+00         1.998619324991273e+01         
6.093750000000003e-02         2.012240643791266e+01         1.552056187405779e+00         1.998546456751432e+01         
6.250000000000003e-02         2.012866703302036e+01         1.590428916992880e+00         1.998471704883075e+01         
6.406250000000002e-02         2.013508259986932e+01         1.628772875885504e+00         1.998395068653166e+01         
6.562500000000002e-02         2.014165303461842e+01         1.667087506166608e+00         1.998316547330873e+01         
6.718750000000001e-02         2.014837823139905e+01         1.705372250307630e+00         1.998236140187585e+01         
6.875000000000001e-02         2.015525808231664e+01         1.743626551175703e+00         1.998153846496934e+01         
7.031250000000000e-02         2.016229247745206e+01         1.781849852040851e+00         1.998069665534805e+01         
7.187499999999999e-02         2.016948130486317e+01         1.820041596583190e+00         1.997983596579359e+01         
7.343749999999999e-02         2.017682445058628e+01         1.858201228900112e+00         1.997895638911044e+01         
7.499999999999998e-02         2.018432179863777e+01         1.896328193513477e+00         1.997805791812616e+01         
7.656249999999998e-02         2.019197323101562e+01         1.934421935376791e+00         1.997714054569154e+01         
7.812499999999997e-02         2.019977862770100e+01         1.972481899882376e+00         1.997620426468076e+01         
7.968749999999997e-02         2.020773786665994e+01         2.010507532868541e+00         1.997524906799154e+01         
8.124999999999996e-02         2.021585082384496e+01         2.048498280626746e+00         1.997427494854534e+01         
8.281249999999996e-02         2.022411737319674e+01         2.086453589908754e+00         1.997328189928747e+01         
8.437499999999995e-02         2.023253738664586e+01         2.124372907933783e+00         1.997226991318729e+01         
8.593749999999994e-02         2.024111073411447e+01         2.162255682395650e+00         1.997123898323835e+01         
8.749999999999994e-02         2.024983728351813e+01         2.200101361469908e+00         1.997018910245855e+01         
8.906249999999993e-02         2.025871690076752e+01         2.237909393820977e+00         1.996912026389030e+01         
9.062499999999993e-02         2.026774944977031e+01         2.275679228609271e+00         1.996803246060066e+01         
9.218749999999992e-02         2.027693479243295e+01         2.313410315498311e+00         1.996692568568152e+01         
9.374999999999992e-02         2.028627278866255e+01         2.351102104661843e+00         1.996579993224972e+01         
9.531249999999991e-02         2.029576329636878e+01         2.388754046790938e+00         1.996465519344723e+01         
9.687499999999991e-02         2.030540617146576e+01         2.426365593101092e+00         1.996349146244130e+01         
9.843749999999990e-02         2.031520126787403e+01         2.463936195339318e+00         1.996230873242459e+01         
9.999999999999989e-02         2.032514843752249e+01         2.501465305791227e+00         1.996110699661532e+01         
1.015624999999999e-01         2.033524753035039e+01         2.538952377288109e+00         1.995988624825745e+01         
1.031249999999999e-01         2.034549839430938e+01         2.576396863214001e+00         1.995864648062080e+01         
