time                          x                             y                             z                             
0.000000000000000e+00         1.015635235695334e-01         2.499981632499998e+01         -1.504647763374374e-02        
1.562500000000000e-03         2.031257250051047e-01         2.499926530237864e+01         -3.009293758026003e-02        
3.125000000000000e-03         3.046852821898706e-01         2.499834693927215e+01         -4.513936215234221e-02        
4.687500000000001e-03         4.062408730412246e-01         2.499706124757400e+01         -6.018573366282521e-02        
6.250000000000000e-03         5.077911755279155e-01         2.499540824393486e+01         -7.523203442460633e-02        
7.812500000000000e-03         6.093348676871642e-01         2.499338794976240e+01         -9.027824675066601e-02        
9.375000000000000e-03         7.108706276417803e-01         2.499100039122095e+01         -1.053243529540887e-01        
1.093750000000000e-02         8.123971336172777e-01         2.498824559923118e+01         -1.203703353480836e-01        
1.250000000000000e-02         9.139130639589880e-01         2.498512360946976e+01         -1.354161762460053e-01        
1.406250000000000e-02         1.015417097149173e+00         2.498163446236880e+01         -1.504618579613750e-01        
1.562500000000000e-02         1.116907911824137e+00         2.497777820311539e+01         -1.655073628079007e-01        
1.718750000000000e-02         1.218384186791332e+00         2.497355488165102e+01         -1.805526730994985e-01        
1.875000000000000e-02         1.319844601046468e+00         2.496896455267090e+01         -1.955977711503133e-01        
2.031250000000000e-02         1.421287833790614e+00         2.496400727562325e+01         -2.106426392747392e-01        
2.187500000000000e-02         1.522712564447300e+00         2.495868311470858e+01         -2.256872597874408e-01        
2.343750000000000e-02         1.624117472679619e+00         2.495299213887879e+01         -2.407316150033737e-01        
2.500000000000000e-02         1.725501238407316e+00         2.494693442183634e+01         -2.557756872378054e-01        
2.656250000000001e-02         1.826862541823884e+00         2.494051004203326e+01         -2.708194588063360e-01        
2.812500000000001e-02         1.928200063413655e+00         2.493371908267012e+01         -2.858629120249190e-01        
2.968750000000001e-02         2.029512483968877e+00         2.492656163169502e+01         -3.009060292098822e-01        
3.125000000000001e-02         2.130798484606804e+00         2.491903778180236e+01         -3.159487926779485e-01        
3.281250000000001e-02         2.232056746786764e+00         2.491114763043171e+01         -3.309911847462562e-01        
3.437500000000001e-02         2.333285952327237e+00         2.490289127976652e+01         -3.460331877323807e-01        
3.593750000000001e-02         2.434484783422920e+00         2.489426883673281e+01         -3.610747839543544e-01        
3.750000000000001e-02         2.535651922661791e+00         2.488528041299776e+01         -3.761159557306880e-01        
3.906250000000001e-02         2.636786053042164e+00         2.487592612496830e+01         -3.911566853803912e-01        
4.062500000000002e-02         2.737885857989744e+00         2.486620609378956e+01         -4.061969552229932e-01        
4.218750000000002e-02         2.838950021374672e+00         2.485612044534335e+01         -4.212367475785639e-01        
4.375000000000002e-02         2.939977227528566e+00         2.484566931024648e+01         -4.362760447677345e-01        
4.531250000000002e-02         3.040966161261557e+00         2.483485282384913e+01         -4.513148291117182e-01        
4.687500000000002e-02         3.141915507879316e+00         2.482367112623302e+01         -4.663530829323310e-01        
4.843750000000002e-02         3.242823953200078e+00         2.481212436220967e+01         -4.813907885520126e-01        
5.000000000000002e-02         3.343690183571657e+00         2.480021268131849e+01         -4.964279282938471e-01        
5.156250000000002e-02         3.444512885888453e+00         2.478793623782482e+01         -5.114644844815838e-01        
5.312500000000003e-02         3.545290747608458e+00         2.477529519071799e+01         -5.265004394396580e-01        
5.468750000000003e-02         3.646022456770247e+00         2.476228970370922e+01         -5.415357754932117e-01        
5.625000000000003e-02         3.746706702009964e+00         2.474891994522951e+01         -5.565704749681145e-01        
5.781250000000003e-02         3.847342172578306e+00         2.473518608842747e+01         -5.716045201909843e-01        
5.937500000000003e-02         3.947927558357489e+00         2.472108831116704e+01         -5.866378934892078e-01        
6.093750000000003e-02         4.048461549878214e+00         2.470662679602525e+01         -6.016705771909620e-01        
6.250000000000003e-02         4.148942838336621e+00         2.469180173028982e+01         -6.167025536252342e-01        
6.406250000000002e-02         4.249370115611236e+00         2.467661330595671e+01         -6.317338051218432e-01        
6.562500000000002e-02         4.349742074279906e+00         2.466106171972768e+01         -6.467643140114600e-01        
6.718750000000001e-02         4.450057407636727e+00         2.464514717300772e+01         -6.617940626256285e-01        
6.875000000000001e-02         4.550314809708968e+00         2.462886987190245e+01         -6.768230332967863e-01        
7.031250000000000e-02         4.650512975273973e+00         2.461223002721545e+01         -6.918512083582855e-01        
7.187499999999999e-02         4.750650599876066e+00         2.459522785444553e+01         -7.068785701444135e-01        
7.343749999999999e-02         4.850726379843437e+00         2.457786357378391e+01         -7.219051009904135e-01        
7.499999999999998e-02         4.950739012305029e+00         2.456013741011144e+01         -7.369307832325057e-01        
7.656249999999998e-02         5.050687195207394e+00         2.454204959299563e+01         -7.519555992079078e-01        
7.812499999999997e-02         5.150569627331566e+00         2.452360035668768e+01         -7.669795312548556e-01        
7.968749999999997e-02         5.250385008309899e+00         2.450478994011948e+01         -7.820025617126244e-01        
