time                          x                             y                             z                             
0.000000000000000e+00         2.500012490662059e+01         2.506250719642276e+01         7.812498469392845e-03         
1.562500000000000e-03         2.500049966170582e+01         2.512502818366124e+01         1.562498775514546e-02         
3.125000000000000e-03         2.500112431565310e+01         2.518756205853146e+01         2.343745867362839e-02         
4.687500000000001e-03         2.500199891560897e+01         2.525010791767357e+01         3.124990204123381e-02         
6.250000000000000e-03         2.500312350546842e+01         2.531266485756355e+01         3.906230867438625e-02         
7.812500000000000e-03         2.500449812587443e+01         2.537523197452486e+01         4.687466938955342e-02         
9.375000000000000e-03         2.500612281421734e+01         2.543780836474020e+01         5.468697500325702e-02         
1.093750000000000e-02         2.500799760463441e+01         2.550039312426318e+01         6.249921633208352e-02         
1.250000000000000e-02         2.501012252800937e+01         2.556298534903003e+01         7.031138419269498e-02         
1.406250000000000e-02         2.501249761197204e+01         2.562558413487133e+01         7.812346940183976e-02         
1.562500000000000e-02         2.501512288089792e+01         2.568818857752369e+01         8.593546277636344e-02         
1.718750000000000e-02         2.501799835590792e+01         2.575079777264149e+01         9.374735513321951e-02         
1.875000000000000e-02         2.502112405486807e+01         2.581341081580857e+01         1.015591372894802e-01         
2.031250000000000e-02         2.502449999238928e+01         2.587602680254994e+01         1.093708000623474e-01         
2.187500000000000e-02         2.502812617982715e+01         2.593864482834351e+01         1.171823342691632e-01         
2.343750000000000e-02         2.503200262528184e+01         2.600126398863179e+01         1.249937307274208e-01         
2.500000000000000e-02         2.503612933359793e+01         2.606388337883362e+01         1.328049802547754e-01         
2.656250000000001e-02         2.504050630636440e+01         2.612650209435587e+01         1.406160736690550e-01         
2.812500000000001e-02         2.504513354191456e+01         2.618911923060515e+01         1.484270017882710e-01         
2.968750000000001e-02         2.505001103532611e+01         2.625173388299955e+01         1.562377554306290e-01         
3.125000000000001e-02         2.505513877842118e+01         2.631434514698034e+01         1.640483254145399e-01         
3.281250000000001e-02         2.506051675976645e+01         2.637695211802366e+01         1.718587025586304e-01         
3.437500000000001e-02         2.506614496467326e+01         2.643955389165228e+01         1.796688776817539e-01         
3.593750000000001e-02         2.507202337519786e+01         2.650214956344729e+01         1.874788416030013e-01         
3.750000000000001e-02         2.507815197014158e+01         2.656473822905980e+01         1.952885851417117e-01         
3.906250000000001e-02         2.508453072505115e+01         2.662731898422266e+01         2.030980991174834e-01         
4.062500000000002e-02         2.509115961221898e+01         2.668989092476221e+01         2.109073743501843e-01         
4.218750000000002e-02         2.509803860068354e+01         2.675245314660993e+01         2.187164016599633e-01         
4.375000000000002e-02         2.510516765622975e+01         2.681500474581415e+01         2.265251718672603e-01         
4.531250000000002e-02         2.511254674138941e+01         2.687754481855183e+01         2.343336757928178e-01         
4.687500000000002e-02         2.512017581544172e+01         2.694007246114018e+01         2.421419042576912e-01         
4.843750000000002e-02         2.512805483441376e+01         2.700258677004840e+01         2.499498480832596e-01         
5.000000000000002e-02         2.513618375108110e+01         2.706508684190939e+01         2.577574980912368e-01         
5.156250000000002e-02         2.514456251496838e+01         2.712757177353142e+01         2.655648451036820e-01         
5.312500000000003e-02         2.515319107234998e+01         2.719004066190987e+01         2.733718799430105e-01         
5.468750000000003e-02         2.516206936625069e+01         2.725249260423886e+01         2.811785934320047e-01         
5.625000000000003e-02         2.517119733644648e+01         2.731492669792303e+01         2.889849763938245e-01         
5.781250000000003e-02         2.518057491946524e+01         2.737734204058913e+01         2.967910196520185e-01         
5.937500000000003e-02         2.519020204858765e+01         2.743973773009778e+01         3.045967140305347e-01         
6.093750000000003e-02         2.520007865384800e+01         2.750211286455512e+01         3.124020503537310e-01         
6.250000000000003e-02         2.521020466203509e+01         2.756446654232451e+01         3.202070194463865e-01         
6.406250000000002e-02         2.522057999669324e+01         2.762679786203818e+01         3.280116121337115e-01         
6.562500000000002e-02         2.523120457812318e+01         2.768910592260891e+01         3.358158192413593e-01         
6.718750000000001e-02         2.524207832338316e+01         2.775138982324174e+01         3.436196315954362e-01         
6.875000000000001e-02         2.525320114629002e+01         2.781364866344556e+01         3.514230400225124e-01         
7.031250000000000e-02         2.526457295742023e+01         2.787588154304484e+01         3.592260353496332e-01         
7.187499999999999e-02         2.527619366411113e+01         2.793808756219126e+01         3.670286084043293e-01         
7.343749999999999e-02         2.528806317046209e+01         2.800026582137536e+01         3.748307500146280e-01         
7.499999999999998e-02         2.530018137733575e+01         2.806241542143820e+01         3.826324510090633e-01         
7.656249999999998e-02         2.531254818235930e+01         2.812453546358297e+01         3.904337022166878e-01         
7.812499999999997e-02         2.532516347992584e+01         2.818662504938671e+01         3.982344944670824e-01         
7.968749999999997e-02         2.533802716119569e+01         2.824868328081184e+01         4.060348185903674e-01         
8.124999999999996e-02         2.535113911409784e+01         2.831070926021787e+01         4.138346654172139e-01         
8.281249999999996e-02         2.536449922333136e+01         2.837270209037300e+01         4.216340257788534e-01         
8.437499999999995e-02         2.537810737036696e+01         2.843466087446574e+01         4.294328905070899e-01         
8.593749999999994e-02         2.539196343344843e+01         2.849658471611649e+01         4.372312504343096e-01         
8.749999999999994e-02         2.540606728759431e+01         2.855847271938923e+01         4.450290963934921e-01         
8.906249999999993e-02         2.542041880459943e+01         2.862032398880302e+01         4.528264192182215e-01         
9.062499999999993e-02         2.543501785303660e+01         2.868213762934368e+01         4.606232097426964e-01         
9.218749999999992e-02         2.544986429825833e+01         2.874391274647535e+01         4.684194588017416e-01         
9.374999999999992e-02         2.546495800239854e+01         2.880564844615206e+01         4.762151572308179e-01         
9.531249999999991e-02         2.548029882437435e+01         2.886734383482935e+01         4.840102958660338e-01         
9.687499999999991e-02         2.549588661988793e+01         2.892899801947577e+01         4.918048655441555e-01         
9.843749999999990e-02         2.551172124142832e+01         2.899061010758453e+01         4.995988571026183e-01         
9.999999999999989e-02         2.552780253827339e+01         2.905217920718500e+01         5.073922613795370e-01         
1.015624999999999e-01         2.554413035649175e+01         2.911370442685428e+01         5.151850692137165e-01         
1.031249999999999e-01         2.556070453894476e+01         2.917518487572876e+01         5.229772714446632e-01         
1.046874999999999e-01         2.557752492528857e+01         2.923661966351562e+01         5.307688589125952e-01         
1.062499999999999e-01         2.559459135197618e+01         2.929800790050437e+01         5.385598224584531e-01         
1.078124999999999e-01         2.561190365225955e+01         2.935934869757843e+01         5.463501529239113e-01         
1.093749999999999e-01         2.562946165619180e+01         2.942064116622655e+01         5.541398411513881e-01         
1.109374999999999e-01         2.564726519062934e+01         2.948188441855438e+01         5.619288779840570e-01         
1.124999999999999e-01         2.566531407923417e+01         2.954307756729597e+01         5.697172542658568e-01         
1.140624999999998e-01         2.568360814247613e+01         2.960421972582520e+01         5.775049608415034e-01         
1.156249999999998e-01         2.570214719763525e+01         2.966531000816735e+01         5.852919885564992e-01         
1.171874999999998e-01         2.572093105880408e+01         2.972634752901051e+01         5.930783282571452e-01         
1.187499999999998e-01         2.573995953689011e+01         2.978733140371705e+01         6.008639707905510e-01         
1.203124999999998e-01         2.575923243961824e+01         2.984826074833511e+01         6.086489070046456e-01         
1.218749999999998e-01         2.577874957153323e+01         2.990913467961002e+01         6.164331277481884e-01         
1.234374999999998e-01         2.579851073400225e+01         2.996995231499575e+01         6.242166238707798e-01         
1.249999999999998e-01         2.581851572521746e+01         3.003071277266633e+01         6.319993862228720e-01         
1.265624999999998e-01         2.583876434019859e+01         3.009141517152727e+01         6.397814056557798e-01         
1.281249999999998e-01         2.585925637079562e+01         3.015205863122700e+01         6.475626730216911e-01         
1.296874999999998e-01         2.587999160569147e+01         3.021264227216823e+01         6.553431791736782e-01         
1.312499999999998e-01         2.590096983040472e+01         3.027316521551935e+01         6.631229149657081e-01         
1.328124999999998e-01         2.592219082729240e+01         3.033362658322583e+01         6.709018712526530e-01         
1.343749999999998e-01         2.594365437555281e+01         3.039402549802159e+01         6.786800388903019e-01         
1.359374999999998e-01         2.596536025122835e+01         3.045436108344034e+01         6.864574087353708e-01         
1.374999999999998e-01         2.598730822720846e+01         3.051463246382693e+01         6.942339716455130e-01         
1.390624999999998e-01         2.600949807323252e+01         3.057483876434874e+01         7.020097184793311e-01         
1.406249999999998e-01         2.603192955589284e+01         3.063497911100693e+01         7.097846400963865e-01         
1.421874999999997e-01         2.605460243863772e+01         3.069505263064784e+01         7.175587273572108e-01         
1.437499999999997e-01         2.607751648177443e+01         3.075505845097422e+01         7.253319711233164e-01         
1.453124999999997e-01         2.610067144247241e+01         3.081499570055659e+01         7.331043622572071e-01         
1.468749999999997e-01         2.612406707476632e+01         3.087486350884450e+01         7.408758916223892e-01         
1.484374999999997e-01         2.614770312955930e+01         3.093466100617780e+01         7.486465500833819e-01         
1.499999999999997e-01         2.617157935462615e+01         3.099438732379789e+01         7.564163285057280e-01         
1.515624999999997e-01         2.619569549461658e+01         3.105404159385903e+01         7.641852177560052e-01         
1.531249999999997e-01         2.622005129105857e+01         3.111362294943948e+01         7.719532087018360e-01         
1.546874999999997e-01         2.624464648236168e+01         3.117313052455285e+01         7.797202922118991e-01         
1.562499999999997e-01         2.626948080382042e+01         3.123256345415919e+01         7.874864591559398e-01         
1.578124999999997e-01         2.629455398761771e+01         3.129192087417629e+01         7.952517004047809e-01         
1.593749999999997e-01         2.631986576282834e+01         3.135120192149081e+01         8.030160068303333e-01         
1.609374999999997e-01         2.634541585542245e+01         3.141040573396949e+01         8.107793693056067e-01         
1.624999999999997e-01         2.637120398826910e+01         3.146953145047031e+01         8.185417787047207e-01         
1.640624999999997e-01         2.639722988113986e+01         3.152857821085362e+01         8.263032259029149e-01         
1.656249999999997e-01         2.642349325071241e+01         3.158754515599331e+01         8.340637017765604e-01         
1.671874999999997e-01         2.644999381057425e+01         3.164643142778793e+01         8.418231972031697e-01         
1.687499999999997e-01         2.647673127122637e+01         3.170523616917178e+01         8.495817030614079e-01         
1.703124999999996e-01         2.650370534008700e+01         3.176395852412602e+01         8.573392102311036e-01         
1.718749999999996e-01         2.653091572149541e+01         3.182259763768977e+01         8.650957095932590e-01         
1.734374999999996e-01         2.655836211671574e+01         3.188115265597120e+01         8.728511920300612e-01         
1.749999999999996e-01         2.658604422394086e+01         3.193962272615850e+01         8.806056484248928e-01         
1.765624999999996e-01         2.661396173829627e+01         3.199800699653104e+01         8.883590696623421e-01         
1.781249999999996e-01         2.664211435184405e+01         3.205630461647033e+01         8.961114466282148e-01         
1.796874999999996e-01         2.667050175358684e+01         3.211451473647103e+01         9.038627702095439e-01         
1.812499999999996e-01         2.669912362947190e+01         3.217263650815201e+01         9.116130312946004e-01         
1.828124999999996e-01         2.672797966239510e+01         3.223066908426727e+01         9.193622207729045e-01         
1.843749999999996e-01         2.675706953220511e+01         3.228861161871696e+01         9.271103295352362e-01         
1.859374999999996e-01         2.678639291570749e+01         3.234646326655832e+01         9.348573484736458e-01         
1.874999999999996e-01         2.681594948666890e+01         3.240422318401662e+01         9.426032684814645e-01         
1.890624999999996e-01         2.684573891582129e+01         3.246189052849607e+01         9.503480804533155e-01         
1.906249999999996e-01         2.687576087086619e+01         3.251946445859079e+01         9.580917752851246e-01         
1.921874999999996e-01         2.690601501647902e+01         3.257694413409564e+01         9.658343438741305e-01         
1.937499999999996e-01         2.693650101431339e+01         3.263432871601714e+01         9.735757771188961e-01         
1.953124999999996e-01         2.696721852300551e+01         3.269161736658434e+01         9.813160659193186e-01         
1.968749999999996e-01         2.699816719817861e+01         3.274880924925962e+01         9.890552011766409e-01         
1.984374999999995e-01         2.702934669244739e+01         3.280590352874960e+01         9.967931737934616e-01         
1.999999999999995e-01         2.706075665542249e+01         3.286289937101588e+01         1.004529974673746e+00         
2.015624999999995e-01         2.709239673371508e+01         3.291979594328590e+01         1.012265594722837e+00         
2.031249999999995e-01         2.712426657094139e+01         3.297659241406370e+01         1.020000024847465e+00         
2.046874999999995e-01         2.715636580772734e+01         3.303328795314068e+01         1.027733255955760e+00         
2.062499999999995e-01         2.718869408171319e+01         3.308988173160638e+01         1.035465278957261e+00         
2.078124999999995e-01         2.722125102755822e+01         3.314637292185918e+01         1.043196084762927e+00         
2.093749999999995e-01         2.725403627694549e+01         3.320276069761704e+01         1.050925664285149e+00         
2.109374999999995e-01         2.728704945858656e+01         3.325904423392822e+01         1.058654008437756e+00         
2.124999999999995e-01         2.732029019822633e+01         3.331522270718191e+01         1.066381108136035e+00         
2.140624999999995e-01         2.735375811864790e+01         3.337129529511893e+01         1.074106954296730e+00         
2.156249999999995e-01         2.738745283967739e+01         3.342726117684240e+01         1.081831537838062e+00         
