time                          x                             y                             z                             
0.000000000000000e+00         2.000007872107016e+01         3.905929604767804e-02         1.999999073109397e+01         
1.562500000000000e-03         2.000031486867198e+01         7.811180590639014e-02         1.999996291901586e+01         
3.125000000000000e-03         2.000070841784535e+01         1.171569622287772e-01         1.999991655573673e+01         
4.687500000000001e-03         2.000125934156762e+01         1.561941977790976e-01         1.999985163324262e+01         
6.250000000000000e-03         2.000196761075408e+01         1.952229454405675e-01         1.999976814353478e+01         
7.812500000000000e-03         2.000283319425841e+01         2.342426382226993e-01         1.999966607862985e+01         
9.375000000000000e-03         2.000385605887313e+01         2.732527092686377e-01         1.999954543056006e+01         
1.093750000000000e-02         2.000503616933019e+01         3.122525918624940e-01         1.999940619137347e+01         
1.250000000000000e-02         2.000637348830146e+01         3.512417194366784e-01         1.999924835313414e+01         
1.406250000000000e-02         2.000786797639931e+01         3.902195255792291e-01         1.999907190792235e+01         
1.562500000000000e-02         2.000951959217723e+01         4.291854440411401e-01         1.999887684783478e+01         
1.718750000000000e-02         2.001132829213045e+01         4.681389087436853e-01         1.999866316498474e+01         
1.875000000000000e-02         2.001329403069658e+01         5.070793537857414e-01         1.999843085150235e+01         
2.031250000000000e-02         2.001541676025628e+01         5.460062134511070e-01         1.999817989953475e+01         
2.187500000000000e-02         2.001769643113402e+01         5.849189222158194e-01         1.999791030124628e+01         
2.343750000000000e-02         2.002013299159875e+01         6.238169147554684e-01         1.999762204881869e+01         
2.500000000000000e-02         2.002272638786471e+01         6.626996259525074e-01         1.999731513445133e+01         
2.656250000000001e-02         2.002547656409218e+01         7.015664909035612e-01         1.999698955036138e+01         
2.812500000000001e-02         2.002838346238834e+01         7.404169449267305e-01         1.999664528878396e+01         
2.968750000000001e-02         2.003144702280806e+01         7.792504235688941e-01         1.999628234197243e+01         
3.125000000000001e-02         2.003466718335481e+01         8.180663626130064e-01         1.999590070219849e+01         
3.281250000000001e-02         2.003804387998155e+01         8.568641980853926e-01         1.999550036175242e+01         
3.437500000000001e-02         2.004157704659162e+01         8.956433662630402e-01         1.999508131294327e+01         
3.593750000000001e-02         2.004526661503973e+01         9.344033036808863e-01         1.999464354809903e+01         
3.750000000000001e-02         2.004911251513293e+01         9.731434471391019e-01         1.999418705956683e+01         
3.906250000000001e-02         2.005311467463159e+01         1.011863233710372e+00         1.999371183971311e+01         
4.062500000000002e-02         2.005727301925044e+01         1.050562100747173e+00         1.999321788092385e+01         
4.218750000000002e-02         2.006158747265965e+01         1.089239485889044e+00         1.999270517560469e+01         
4.375000000000002e-02         2.006605795648589e+01         1.127894827069856e+00         1.999217371618118e+01         
4.531250000000002e-02         2.007068439031343e+01         1.166527562525075e+00         1.999162349509893e+01         
4.687500000000002e-02         2.007546669168532e+01         1.205137130799024e+00         1.999105450482377e+01         
4.843750000000002e-02         2.008040477610450e+01         1.243722970752139e+00         1.999046673784198e+01         
5.000000000000002e-02         2.008549855703503e+01         1.282284521568217e+00         1.998986018666045e+01         
5.156250000000002e-02         2.009074794590331e+01         1.320821222761668e+00         1.998923484380684e+01         
