time                          x                             y                             z                             
0.000000000000000e+00         1.007605274339455e-01         2.499583841285372e+01         -1.186505770974880e-02        
1.562500000000000e-03         2.015057404847089e-01         2.499131368924628e+01         -2.373525869144128e-02        
3.125000000000000e-03         3.022343190082614e-01         2.498642589826354e+01         -3.561059342026965e-02        
4.687500000000001e-03         4.029449431310703e-01         2.498117511368981e+01         -4.749105223885126e-02        
6.250000000000000e-03         5.036362932674994e-01         2.497556141400653e+01         -5.937662535778107e-02        
7.812500000000000e-03         6.043070501371982e-01         2.496958488239109e+01         -7.126730285618837e-02        
9.375000000000000e-03         7.049558947824838e-01         2.496324560671542e+01         -8.316307468229793e-02        
1.093750000000000e-02         8.055815085857106e-01         2.495654367954466e+01         -9.506393065399536e-02        
1.250000000000000e-02         9.061825732866321e-01         2.494947919813566e+01         -1.069698604593966e-01        
1.406250000000000e-02         1.006757770999750e+00         2.494205226443550e+01         -1.188808536574214e-01        
1.562500000000000e-02         1.107305784231657e+00         2.493426298507992e+01         -1.307968996783711e-01        
1.718750000000000e-02         1.207825295898361e+00         2.492611147139169e+01         -1.427179878245096e-01        
1.875000000000000e-02         1.308314989342608e+00         2.491759783937890e+01         -1.546441072706492e-01        
2.031250000000000e-02         1.408773548351189e+00         2.490872220973329e+01         -1.665752470647390e-01        
2.187500000000000e-02         1.509199657172233e+00         2.489948470782837e+01         -1.785113961284577e-01        
2.343750000000000e-02         1.609592000532493e+00         2.488988546371760e+01         -1.904525432578099e-01        
2.500000000000000e-02         1.709949263654618e+00         2.487992461213248e+01         -2.023986771237255e-01        
2.656250000000001e-02         1.810270132274414e+00         2.486960229248057e+01         -2.143497862726628e-01        
2.812500000000001e-02         1.910553292658093e+00         2.485891864884344e+01         -2.263058591272147e-01        
2.968750000000001e-02         2.010797431619506e+00         2.484787382997461e+01         -2.382668839867184e-01        
3.125000000000001e-02         2.111001236537370e+00         2.483646798929738e+01         -2.502328490278680e-01        
3.281250000000001e-02         2.211163395372475e+00         2.482470128490262e+01         -2.622037423053302e-01        
3.437500000000001e-02         2.311282596684884e+00         2.481257387954652e+01         -2.741795517523632e-01        
3.593750000000001e-02         2.411357529651117e+00         2.480008594064828e+01         -2.861602651814379e-01        
3.750000000000001e-02         2.511386884081319e+00         2.478723764028769e+01         -2.981458702848628e-01        
