time                          x                             y                             z                             
0.000000000000000e+00         2.000000000000000e+01         0.000000000000000e+00         2.000000000000000e+01         
1.562500000000000e-03         2.000007934658887e+01         3.906240433589619e-02         1.999998824493819e+01         
3.125000000000000e-03         2.000031738532254e+01         7.812423468865624e-02         1.999995297976661e+01         
4.687500000000001e-03         2.000071411310229e+01         1.171849170825775e-01         1.999989420452668e+01         
6.250000000000000e-03         2.000126952476359e+01         1.562438775568243e-01         1.999981191928752e+01         
7.812500000000000e-03         2.000198361307618e+01         1.953005421728611e-01         1.999970612414583e+01         
9.375000000000000e-03         2.000285636874423e+01         2.343543370218854e-01         1.999957681922600e+01         
1.093750000000000e-02         2.000388778040636e+01         2.734046882322604e-01         1.999942400468001e+01         
1.250000000000000e-02         2.000507783463583e+01         3.124510219769472e-01         1.999924768068750e+01         
1.406250000000000e-02         2.000642651594077e+01         3.514927644809359e-01         1.999904784745575e+01         
1.562500000000000e-02         2.000793380676427e+01         3.905293420286765e-01         1.999882450521964e+01         
1.718750000000000e-02         2.000959968748472e+01         4.295601809715096e-01         1.999857765424174e+01         
1.875000000000000e-02         2.001142413641596e+01         4.685847077350945e-01         1.999830729481220e+01         
2.031250000000000e-02         2.001340712980766e+01         5.076023488268386e-01         1.999801342724884e+01         
2.187500000000000e-02         2.001554864184553e+01         5.466125308433234e-01         1.999769605189711e+01         
2.343750000000000e-02         2.001784864465175e+01         5.856146804777311e-01         1.999735516913007e+01         
2.500000000000000e-02         2.002030710828525e+01         6.246082245272701e-01         1.999699077934844e+01         
2.656250000000001e-02         2.002292400074215e+01         6.635925899005964e-01         1.999660288298057e+01         
2.812500000000001e-02         2.002569928795616e+01         7.025672036252377e-01         1.999619148048242e+01         
2.968750000000001e-02         2.002863293379899e+01         7.415314928550132e-01         1.999575657233761e+01         
3.125000000000001e-02         2.003172490008087e+01         7.804848848774512e-01         1.999529815905736e+01         
3.281250000000001e-02         2.003497514655102e+01         8.194268071212076e-01         1.999481624118055e+01         
3.437500000000001e-02         2.003838363089816e+01         8.583566871634810e-01         1.999431081927368e+01         
3.593750000000001e-02         2.004195030875107e+01         8.972739527374246e-01         1.999378189393087e+01         
3.750000000000001e-02         2.004567513367916e+01         9.361780317395597e-01         1.999322946577388e+01         
3.906250000000001e-02         2.004955805719309e+01         9.750683522371829e-01         1.999265353545208e+01         
4.062500000000002e-02         2.005359902874537e+01         1.013944342475775e+00         1.999205410364249e+01         
4.218750000000002e-02         2.005779799573102e+01         1.052805430886402e+00         1.999143117104975e+01         
4.375000000000002e-02         2.006215490348828e+01         1.091651046093123e+00         1.999078473840611e+01         
4.531250000000002e-02         2.006666969529926e+01         1.130480616920386e+00         1.999011480647146e+01         
4.687500000000002e-02         2.007134231239075e+01         1.169293572400425e+00         1.998942137603332e+01         
4.843750000000002e-02         2.007617269393492e+01         1.208089341780655e+00         1.998870444790681e+01         
5.000000000000002e-02         2.008116077705012e+01         1.246867354531066e+00         1.998796402293468e+01         
5.156250000000002e-02         2.008630649680172e+01         1.285627040351608e+00         1.998720010198731e+01         
5.312500000000003e-02         2.009160978620293e+01         1.324367829179580e+00         1.998641268596269e+01         
5.468750000000003e-02         2.009707057621566e+01         1.363089151197011e+00         1.998560177578644e+01         
5.625000000000003e-02         2.010268879575142e+01         1.401790436838041e+00         1.998476737241179e+01         
5.781250000000003e-02         2.010846437167227e+01         1.440471116796295e+00         1.998390947681958e+01         
5.937500000000003e-02         2.011439722879173e+01         1.479130622032257e+00         1.998302809001827e+01         
6.093750000000003e-02         2.012048728987575e+01         1.517768383780641e+00         1.998212321304394e+01         
6.250000000000003e-02         2.012673447564376e+01         1.556383833557756e+00         1.998119484696028e+01         
6.406250000000002e-02         2.013313870476962e+01         1.594976403168868e+00         1.998024299285859e+01         
6.562500000000002e-02         2.013969989388274e+01         1.633545524715557e+00         1.997926765185777e+01         
6.718750000000001e-02         2.014641795756914e+01         1.672090630603077e+00         1.997826882510436e+01         
6.875000000000001e-02         2.015329280837252e+01         1.710611153547700e+00         1.997724651377246e+01         
7.031250000000000e-02         2.016032435679546e+01         1.749106526584066e+00         1.997620071906383e+01         
7.187499999999999e-02         2.016751251130052e+01         1.787576183072528e+00         1.997513144220779e+01         
7.343749999999999e-02         2.017485717831145e+01         1.826019556706486e+00         1.997403868446129e+01         
7.499999999999998e-02         2.018235826221440e+01         1.864436081519725e+00         1.997292244710887e+01         
7.656249999999998e-02         2.019001566535914e+01         1.902825191893740e+00         1.997178273146268e+01         
7.812499999999997e-02         2.019782928806037e+01         1.941186322565069e+00         1.997061953886245e+01         
7.968749999999997e-02         2.020579902859897e+01         1.979518908632604e+00         1.996943287067553e+01         
8.124999999999996e-02         2.021392478322332e+01         2.017822385564914e+00         1.996822272829686e+01         
8.281249999999996e-02         2.022220644615065e+01         2.056096189207553e+00         1.996698911314895e+01         
8.437499999999995e-02         2.023064390956844e+01         2.094339755790367e+00         1.996573202668195e+01         
8.593749999999994e-02         2.023923706363573e+01         2.132552521934798e+00         1.996445147037355e+01         
8.749999999999994e-02         2.024798579648466e+01         2.170733924661173e+00         1.996314744572907e+01         
8.906249999999993e-02         2.025688999422182e+01         2.208883401396004e+00         1.996181995428138e+01         
9.062499999999993e-02         2.026594954092978e+01         2.247000389979266e+00         1.996046899759097e+01         
9.218749999999992e-02         2.027516431866857e+01         2.285084328671683e+00         1.995909457724589e+01         
9.374999999999992e-02         2.028453420747721e+01         2.323134656161999e+00         1.995769669486178e+01         
9.531249999999991e-02         2.029405908537525e+01         2.361150811574252e+00         1.995627535208186e+01         
9.687499999999991e-02         2.030373882836439e+01         2.399132234475033e+00         1.995483055057693e+01         
9.843749999999990e-02         2.031357331043003e+01         2.437078364880746e+00         1.995336229204536e+01         
9.999999999999989e-02         2.032356240354296e+01         2.474988643264862e+00         1.995187057821310e+01         
1.015624999999999e-01         2.033370597766095e+01         2.512862510565163e+00         1.995035541083366e+01         
1.031249999999999e-01         2.034400390073051e+01         2.550699408190982e+00         1.994881679168815e+01         
1.046874999999999e-01         2.035445603868853e+01         2.588498778030440e+00         1.994725472258520e+01         
1.062499999999999e-01         2.036506225546407e+01         2.626260062457671e+00         1.994566920536105e+01         
1.078124999999999e-01         2.037582241298010e+01         2.663982704340046e+00         1.994406024187947e+01         
1.093749999999999e-01         2.038673637115527e+01         2.701666147045387e+00         1.994242783403182e+01         
1.109374999999999e-01         2.039780398790572e+01         2.739309834449177e+00         1.994077198373701e+01         
1.124999999999999e-01         2.040902511914702e+01         2.776913210941760e+00         1.993909269294148e+01         
1.140624999999998e-01         2.042039961879586e+01         2.814475721435539e+00         1.993738996361927e+01         
1.156249999999998e-01         2.043192733877210e+01         2.851996811372165e+00         1.993566379777193e+01         
1.171874999999998e-01         2.044360812900059e+01         2.889475926729717e+00         1.993391419742860e+01         
1.187499999999998e-01         2.045544183741318e+01         2.926912514029876e+00         1.993214116464592e+01         
1.203124999999998e-01         2.046742830995063e+01         2.964306020345100e+00         1.993034470150813e+01         
1.218749999999998e-01         2.047956739056465e+01         3.001655893305776e+00         1.992852481012696e+01         
1.234374999999998e-01         2.049185892121988e+01         3.038961581107382e+00         1.992668149264171e+01         
1.249999999999998e-01         2.050430274189596e+01         3.076222532517622e+00         1.992481475121921e+01         
1.265624999999998e-01         2.051689869058964e+01         3.113438196883578e+00         1.992292458805384e+01         
1.281249999999998e-01         2.052964660331678e+01         3.150608024138835e+00         1.992101100536748e+01         
1.296874999999998e-01         2.054254631411457e+01         3.187731464810602e+00         1.991907400540956e+01         
1.312499999999998e-01         2.055559765504363e+01         3.224807970026834e+00         1.991711359045705e+01         
1.328124999999998e-01         2.056880045619018e+01         3.261836991523338e+00         1.991512976281441e+01         
1.343749999999998e-01         2.058215454566827e+01         3.298817981650873e+00         1.991312252481367e+01         
1.359374999999998e-01         2.059565974962198e+01         3.335750393382241e+00         1.991109187881432e+01         
1.374999999999998e-01         2.060931589222770e+01         3.372633680319377e+00         1.990903782720341e+01         
1.390624999999998e-01         2.062312279569634e+01         3.409467296700419e+00         1.990696037239550e+01         
1.406249999999998e-01         2.063708028027575e+01         3.446250697406780e+00         1.990485951683263e+01         
1.421874999999997e-01         2.065118816425291e+01         3.482983337970206e+00         1.990273526298439e+01         
1.437499999999997e-01         2.066544626395638e+01         3.519664674579829e+00         1.990058761334784e+01         
1.453124999999997e-01         2.067985439375865e+01         3.556294164089208e+00         1.989841657044756e+01         
1.468749999999997e-01         2.069441236607853e+01         3.592871264023367e+00         1.989622213683562e+01         
1.484374999999997e-01         2.070911999138360e+01         3.629395432585812e+00         1.989400431509160e+01         
1.499999999999997e-01         2.072397707819263e+01         3.665866128665559e+00         1.989176310782255e+01         
1.515624999999997e-01         2.073898343307810e+01         3.702282811844134e+00         1.988949851766303e+01         
1.531249999999997e-01         2.075413886066871e+01         3.738644942402574e+00         1.988721054727509e+01         
1.546874999999997e-01         2.076944316365184e+01         3.774951981328419e+00         1.988489919934823e+01         
1.562499999999997e-01         2.078489614277619e+01         3.811203390322690e+00         1.988256447659947e+01         
1.578124999999997e-01         2.080049759685430e+01         3.847398631806860e+00         1.988020638177329e+01         
1.593749999999997e-01         2.081624732276517e+01         3.883537168929821e+00         1.987782491764165e+01         
1.609374999999997e-01         2.083214511545693e+01         3.919618465574829e+00         1.987542008700396e+01         
1.624999999999997e-01         2.084819076794942e+01         3.955641986366455e+00         1.987299189268712e+01         
1.640624999999997e-01         2.086438407133695e+01         3.991607196677516e+00         1.987054033754550e+01         
1.656249999999997e-01         2.088072481479093e+01         4.027513562635994e+00         1.986806542446090e+01         
1.671874999999997e-01         2.089721278556267e+01         4.063360551131957e+00         1.986556715634260e+01         
1.687499999999997e-01         2.091384776898605e+01         4.099147629824460e+00         1.986304553612734e+01         
1.703124999999996e-01         2.093062954848041e+01         4.134874267148443e+00         1.986050056677929e+01         
1.718749999999996e-01         2.094755790555327e+01         4.170539932321607e+00         1.985793225129008e+01         
1.734374999999996e-01         2.096463261980316e+01         4.206144095351297e+00         1.985534059267878e+01         
1.749999999999996e-01         2.098185346892253e+01         4.241686227041363e+00         1.985272559399190e+01         
1.765624999999996e-01         2.099922022870059e+01         4.277165798999009e+00         1.985008725830339e+01         
1.781249999999996e-01         2.101673267302618e+01         4.312582283641644e+00         1.984742558871463e+01         
1.796874999999996e-01         2.103439057389078e+01         4.347935154203712e+00         1.984474058835443e+01         
1.812499999999996e-01         2.105219370139141e+01         4.383223884743510e+00         1.984203226037902e+01         
1.828124999999996e-01         2.107014182373360e+01         4.418447950150002e+00         1.983930060797206e+01         
