Temperature    Energy         Energy2        Magnetization  Magnetization2 Heat Capacity  Susceptibility 
1              -2             4              1              1              0              0              
1.01           -1.9777778     3.9555556      0.99222222     0.99055556     0.17233847     0.023962841    
1.02           -2             4              1              1              0              0              
1.03           -2             4              1              1              0              0              
1.04           -1.9911111     3.9822222      0.99777778     0.99666667     0.065454014    0.0042545109   
1.05           -1.9777778     3.9555556      0.99222222     0.99055556     0.15945802     0.023049971    
1.06           -2             4              1              1              0              0              
1.07           -1.9644444     3.9288889      0.99           0.98611111     0.244028       0.022471443    
1.08           -1.9955556     3.9911111      0.99888889     0.99833333     0.030415418    0.0020530407   
1.09           -2             4              1              1              0              0              
1.1            -1.9955556     3.9911111      0.99777778     0.99777778     0.029319457    0.0080628507   
1.11           -1.9955556     3.9911111      0.99888889     0.99833333     0.028793558    0.0019975531   
1.12           -1.9955556     3.9911111      0.99777778     0.99777778     0.028281683    0.0079188713   
1.13           -1.9955556     3.9911111      0.99888889     0.99833333     0.027783337    0.0019621982   
1.14           -1.9955556     3.9911111      0.99888889     0.99833333     0.027298048    0.0019449859   
1.15           -1.9822222     3.9644444      0.99444444     0.99277778     0.10658452     0.013419216    
1.16           -1.9866667     3.9733333      0.99555556     0.99444444     0.078742238    0.011426139    
1.17           -1.9911111     3.9822222      0.99777778     0.99666667     0.051716752    0.0037817875   
1.18           -2             4              1              1              0              0              
1.19           -2             4              1              1              0              0              
1.2            -1.9822222     3.9644444      0.99444444     0.99277778     0.097887517    0.012860082    
1.21           -1.9777778     3.9555556      0.99333333     0.99111111     0.12007545     0.014545455    
1.22           -1.9911111     3.9822222      0.99777778     0.99666667     0.04756454     0.0036267962   
1.23           -1.9777778     3.9555556      0.99444444     0.99166667     0.11620231     0.0089330523   
1.24           -1.9911111     3.9822222      0.99777778     0.99666667     0.046042574    0.0035682995   
1.25           -1.9777778     3.9555556      0.99333333     0.99111111     0.11251358     0.01408        
1.26           -1.9777778     3.9555556      0.99222222     0.99055556     0.11073474     0.019208309    
1.27           -1.9555556     3.9111111      0.98333333     0.98055556     0.21554611     0.042869641    
1.28           -1.9911111     3.9822222      0.99777778     0.99666667     0.043209877    0.0034567901   
1.29           -1.9955556     3.9911111      0.99888889     0.99833333     0.021318757    0.0017188248   
1.3            -1.9466667     3.8933333      0.98555556     0.97944444     0.24573307     0.02499905     
1.31           -2             4              1              1              0              0              
1.32           -1.9911111     3.9822222      0.99777778     0.99666667     0.040630775    0.0033520389   
