Temperature    Heat Capacity  Susceptibility 
2.26           2.04539        29.199931      
2.261          2.0079165      30.580657      
2.262          2.04261        32.391927      
2.263          2.0715964      38.940493      
2.264          2.1508881      40.732666      
2.265          1.9846187      31.1406        
2.266          2.0649623      31.791181      
2.267          2.2476001      57.933359      
2.268          2.140776       35.810505      
2.269          2.0646128      38.005971      
2.27           2.1256282      40.738257      
2.271          2.004618       29.676293      
2.272          2.2447451      48.210418      
2.273          2.2666321      59.951594      
2.274          2.2834368      54.910061      
2.275          2.3521188      58.386824      
2.276          2.1894656      40.433104      
2.277          2.3024345      56.6276        
2.278          2.1614865      37.943648      
2.279          2.1786256      57.48405       
2.28           2.1281496      49.077654      
2.281          2.2193832      65.043938      
2.282          2.3821923      60.962674      
2.283          2.2806514      62.597163      
2.284          2.0811793      51.352695      
2.285          2.2194331      48.118655      
2.286          2.3313517      72.243002      
2.287          2.2474597      67.337406      
2.288          2.2249222      53.864114      
2.289          2.2013704      57.945774      
2.29           2.1408192      47.834736      
2.291          2.1313364      59.951478      
2.292          2.2522973      61.952528      
2.293          2.1084207      62.018696      
2.294          2.1399888      52.692238      
2.295          2.1677081      54.76058       
2.296          2.0599469      51.157507      
2.297          2.1323351      69.698215      
2.298          2.0683549      48.105228      
2.299          2.1628271      62.988881      
2.3            2.0857425      63.12541       
2.301          2.053614       60.931886      
2.302          2.0559482      58.008303      
2.303          2.0350456      62.43101       
2.304          2.1312434      66.603723      
2.305          2.0046591      60.755984      
2.306          2.1127912      69.332339      
2.307          2.1053019      67.873687      
2.308          2.046246       60.811707      
2.309          2.011811       58.525961      
2.31           2.0415253      60.636221      
2.311          1.9841604      68.250689      
2.312          1.9111487      60.910896      
2.313          2.0305152      60.038331      
2.314          1.7621917      56.51211       
2.315          1.916037       62.681147      
2.316          1.9041369      61.524118      
2.317          1.9042797      61.104202      
2.318          1.817485       51.488634      
2.319          1.9424912      60.488119      
2.32           1.8407998      56.45794       
