Temperature    Heat Capacity  Susceptibility 
2.26           1.7761621      13.01199       
2.261          1.8390157      14.027963      
2.262          1.8715873      16.099246      
2.263          1.8507298      17.140168      
2.264          2.0313098      24.377756      
2.265          1.8342708      14.594183      
2.266          1.9073541      18.452058      
2.267          2.027374       26.405334      
2.268          1.9121299      17.849099      
2.269          1.8768015      18.191242      
2.27           2.0761222      22.781926      
2.271          1.9606544      21.51788       
2.272          2.0090308      23.950998      
2.273          2.0646165      26.185831      
2.274          1.9390849      19.65644       
2.275          2.0214484      21.259231      
2.276          1.9242339      20.790048      
2.277          2.0353187      26.87471       
2.278          2.1433235      29.513752      
2.279          1.8646259      19.547668      
2.28           1.9583589      24.217564      
2.281          2.0583158      26.165049      
2.282          2.0027735      25.427891      
2.283          1.9949434      22.25943       
2.284          2.1191686      28.416905      
2.285          1.9920477      23.10736       
2.286          2.0811587      26.567235      
2.287          1.972376       22.770422      
2.288          2.0131826      28.678569      
2.289          1.993937       26.487766      
2.29           1.9584782      24.853168      
2.291          2.0090474      23.337409      
2.292          1.9393712      24.787095      
2.293          1.9699531      22.924639      
2.294          1.9676685      27.147836      
2.295          1.9091886      21.034449      
2.296          1.970598       25.266878      
2.297          2.0206681      30.564437      
2.298          2.0141151      32.313068      
2.299          1.9738709      26.908967      
2.3            2.0194473      28.865424      
2.301          1.961062       29.368643      
2.302          1.9507203      27.18312       
2.303          1.9922955      27.328211      
2.304          1.9511691      28.858204      
2.305          1.9699225      26.932745      
2.306          2.0653063      30.941215      
2.307          2.0227777      30.769335      
2.308          1.9393985      29.429172      
2.309          1.9130282      25.942688      
2.31           1.997413       30.232897      
2.311          1.9260057      29.543785      
2.312          1.9585868      28.553199      
2.313          1.9438937      31.604916      
2.314          1.9496748      27.37202       
2.315          1.8689448      30.474397      
2.316          1.875018       28.051665      
2.317          1.9657318      32.437594      
2.318          1.841964       28.051907      
2.319          1.9526336      33.093349      
2.32           1.7906838      29.094953      
